time_s,explored_fraction,mean_target_separation,frontier_reuse_frequency,target_reassignment_count,revisit_ratio,active_frontier_count,mean_speed,mean_pairwise_distance
40.1000000000003,0.18233349078885214,28.00541575190197,0.0,0,0.9017412935323383,15,1.5,17.232363593365392
40.2000000000003,0.18233349078885214,28.00541575190197,0.0,0,0.9017369727047146,15,1.5,17.39914858171511
40.3000000000003,0.18233349078885214,28.00541575190197,0.0,0,0.9017326732673268,15,1.5,17.565401317749657
40.400000000000304,0.18233349078885214,28.00541575190197,0.0,0,0.9019753086419753,15,1.5,17.731052905735613
40.500000000000306,0.18233349078885214,28.00541575190197,0.0,0,0.9022167487684729,15,1.5,17.89591298860158
40.60000000000031,0.18233349078885214,28.00541575190197,0.0,0,0.9024570024570024,15,1.5,18.059609589612975
40.70000000000031,0.18233349078885214,28.00541575190197,0.0,0,0.9024509803921569,15,1.5,18.222721586302505
40.80000000000031,0.18256967406707605,28.00541575190197,0.0,0,0.902200488997555,14,1.5,18.386751535801196
40.90000000000031,0.18280585734529994,28.00541575190197,0.0,0,0.9024390243902439,15,1.5,18.55144861622889
41.00000000000031,0.18280585734529994,28.00541575190197,0.0,0,0.902676399026764,15,1.5,18.71657054864084
41.100000000000314,0.18327822390174775,28.00541575190197,0.0,0,0.9029126213592233,15,1.5,18.88188504788777
41.200000000000315,0.18351440717997167,28.00541575190197,0.0,0,0.9031476997578692,15,1.5,19.047170986389123
41.30000000000032,0.18351440717997167,28.00541575190197,0.0,0,0.9031400966183575,15,1.5,19.212219350583638
41.40000000000032,0.18375059045819556,28.00541575190197,0.0,0,0.9033734939759036,14,1.5,19.376834054165112
41.50000000000032,0.18398677373641947,28.00541575190197,0.0,0,0.9033653846153846,14,1.5,19.54083265532349
41.60000000000032,0.18422295701464336,28.00541575190197,0.0,0,0.9031175059952038,15,1.5,19.70404700868433
41.70000000000032,0.18422295701464336,28.00541575190197,0.0,0,0.90311004784689,15,1.5,19.866323867002503
41.800000000000324,0.18422295701464336,28.00541575190197,0.0,0,0.9028639618138424,15,1.5,20.027525433106632
41.900000000000325,0.18469532357109117,28.00541575190197,0.0,0,0.9023809523809524,15,1.5,20.18752984945419
42.00000000000033,0.18540387340576286,28.00541575190197,0.0,10,0.9026128266033254,15,1.5,20.346379465730237
42.10000000000033,0.18564005668398678,28.00541575190197,0.0,0,0.9028436018957346,15,1.5,20.50362019797624
42.20000000000033,0.1861124232404346,28.00541575190197,0.0,0,0.9030732860520094,15,1.5,20.65861168279204
42.30000000000033,0.1861124232404346,28.00541575190197,0.0,0,0.9033018867924528,15,1.5,20.811378180148647
42.40000000000033,0.1861124232404346,28.00541575190197,0.0,0,0.9032941176470588,15,1.5,20.961446694418505
42.500000000000334,0.1861124232404346,28.00541575190197,0.0,0,0.9025821596244131,15,1.5,21.10855275797911
42.600000000000335,0.1865847897968824,28.00541575190197,0.0,0,0.9028103044496487,16,1.5,21.252569178853427
42.70000000000034,0.18705715635333017,28.00541575190197,0.0,0,0.902803738317757,16,1.5,21.39339445121589
42.80000000000034,0.18705715635333017,28.00541575190197,0.0,0,0.9027972027972028,16,1.5,21.531878656219966
42.90000000000034,0.1872933396315541,28.00541575190197,0.0,0,0.9030232558139535,16,1.5,21.668295376667533
43.00000000000034,0.1872933396315541,28.00541575190197,0.0,0,0.9032482598607888,16,1.5,21.80273540610109
43.10000000000034,0.1877657061880019,28.00541575190197,0.0,0,0.9027777777777778,15,1.5,21.93530183055423
43.200000000000344,0.1877657061880019,28.00541575190197,0.0,0,0.9030023094688222,15,1.5,22.066108571494663
43.300000000000345,0.1884742560226736,28.00541575190197,0.0,0,0.9029953917050692,14,1.5,22.195279197814763
43.40000000000035,0.1887104393008975,28.00541575190197,0.0,0,0.9032183908045976,14,1.5,22.322946039052223
43.50000000000035,0.1889466225791214,28.00541575190197,0.0,0,0.9029816513761468,15,1.5,22.449249595181392
43.60000000000035,0.1891828058573453,28.00541575190197,0.0,0,0.9029748283752861,16,1.5,22.5743382046157
43.70000000000035,0.1891828058573453,28.00541575190197,0.0,0,0.9029680365296804,16,1.5,22.69836790675152
43.80000000000035,0.1891828058573453,28.00541575190197,0.0,0,0.9031890660592256,16,1.5,22.821502421187173
43.900000000000354,0.1891828058573453,28.00541575190197,0.0,0,0.9034090909090909,16,1.5,22.943913162506135
44.000000000000355,0.1896551724137931,28.00541575190197,0.2,10,0.9031746031746032,15,1.5,23.068065823090375
44.10000000000036,0.1896551724137931,28.00541575190197,0.0,0,0.9029411764705882,15,1.5,23.193497632283258
44.20000000000036,0.19036372224846482,28.00541575190197,0.0,0,0.9027088036117381,15,1.5,23.31916593285485
44.30000000000036,0.1905999055266887,28.00541575190197,0.0,0,0.9027027027027027,16,1.5,23.4443289180637
44.40000000000036,0.1905999055266887,28.00541575190197,0.0,0,0.9029213483146067,16,1.5,23.569240730647394
44.50000000000036,0.19083608880491262,28.00541575190197,0.0,0,0.9024663677130045,16,1.5,23.693403565476146
44.600000000000364,0.19083608880491262,28.00541575190197,0.0,0,0.9024608501118568,16,1.5,23.81631976648131
44.700000000000365,0.19083608880491262,28.00541575190197,0.0,0,0.9022321428571428,16,1.5,23.93650645508704
44.80000000000037,0.1910722720831365,28.00541575190197,0.0,0,0.9024498886414254,16,1.5,24.05458987306222
44.90000000000037,0.1910722720831365,28.00541575190197,0.0,0,0.9024444444444445,16,1.5,24.170139403109545
45.00000000000037,0.1913084553613604,28.00541575190197,0.0,0,0.9026607538802661,15,1.5,24.28275240940616
45.10000000000037,0.19154463863958432,28.00541575190197,0.0,0,0.9028761061946903,15,1.5,24.392057659547746
45.20000000000037,0.19201700519603213,28.00541575190197,0.0,0,0.9030905077262693,14,1.5,24.497718351160398
45.300000000000374,0.19225318847425601,28.00541575190197,0.0,0,0.902863436123348,14,1.5,24.599434747266777
45.400000000000375,0.19272555503070382,28.00541575190197,0.0,0,0.9028571428571428,15,1.5,24.696946428509712
45.50000000000038,0.19319792158715163,28.00541575190197,0.0,0,0.9030701754385965,15,1.5,24.79163115579989
45.60000000000038,0.19319792158715163,28.00541575190197,0.0,0,0.9030634573304157,15,1.5,24.883565718764178
45.70000000000038,0.19343410486537554,28.00541575190197,0.0,0,0.903056768558952,16,1.5,24.972628707567477
45.80000000000038,0.19343410486537554,28.00541575190197,0.0,0,0.9030501089324618,16,1.5,25.058745605335524
45.90000000000038,0.19343410486537554,28.00541575190197,0.0,0,0.9032608695652173,16,1.5,25.14187621638069
46.000000000000384,0.19343410486537554,28.00541575190197,0.6,10,0.903470715835141,16,1.5,25.223290168130966
46.100000000000385,0.19437883797827113,28.00541575190197,0.0,0,0.9036796536796536,17,1.5,25.303324040604092
46.20000000000039,0.19437883797827113,28.00541575190197,0.0,0,0.9038876889848813,17,1.5,25.38129871213395
46.30000000000039,0.19437883797827113,28.00541575190197,0.0,0,0.9038793103448276,17,1.5,25.455910173872184
46.40000000000039,0.19461502125649505,28.00541575190197,0.0,0,0.9040860215053763,16,1.5,25.526611985774945
46.50000000000039,0.19461502125649505,28.00541575190197,0.0,0,0.9040772532188841,16,1.5,25.592921635303117
46.60000000000039,0.19485120453471894,28.00541575190197,0.0,0,0.9040685224839401,16,1.5,25.65438993467642
46.700000000000394,0.19532357109116674,28.00541575190197,0.0,0,0.9042735042735043,15,1.5,25.710604274306892
46.800000000000395,0.19603212092583844,28.00541575190197,0.0,0,0.9042643923240938,15,1.5,25.75946397471923
46.9000000000004,0.19626830420406235,28.00541575190197,0.0,0,0.904468085106383,15,1.5,25.80048184367013
47.0000000000004,0.19650448748228624,28.00541575190197,0.0,0,0.9042462845010616,16,1.5,25.833430655582102
47.1000000000004,0.19674067076051016,28.00541575190197,0.0,0,0.9040254237288136,16,1.5,25.858146610765335
47.2000000000004,0.19674067076051016,28.00541575190197,0.0,0,0.9042283298097251,16,1.5,25.874530278446688
47.3000000000004,0.19674067076051016,28.00541575190197,0.0,0,0.9042194092827004,16,1.5,25.88254701330486
47.400000000000404,0.19674067076051016,28.00541575190197,0.0,0,0.9042105263157895,16,1.5,25.882226877550607
47.500000000000405,0.19697685403873405,28.00541575190197,0.0,0,0.9044117647058824,16,1.5,25.873664110027267
47.600000000000406,0.19744922059518186,28.00541575190197,0.0,0,0.9041928721174004,16,1.5,25.857016187206195
47.70000000000041,0.19744922059518186,28.00541575190197,0.0,0,0.9039748953974895,16,1.5,25.83250251949148
47.80000000000041,0.19744922059518186,28.00541575190197,0.0,0,0.9037578288100209,16,1.5,25.800402821225173
47.90000000000041,0.19744922059518186,28.00541575190197,0.0,0,0.90375,16,1.5,25.76105518544127
48.00000000000041,0.19744922059518186,28.00541575190197,0.6,10,0.903950103950104,16,1.4866338314463723,25.715048328085864
48.10000000000041,0.19792158715162966,28.00541575190197,0.0,0,0.903941908713693,15,1.5,25.667762500254725
48.200000000000415,0.19815777042985355,28.00541575190197,0.0,0,0.9039337474120083,15,1.5,25.61761418072796
48.300000000000416,0.19839395370807747,28.00541575190197,0.0,0,0.9041322314049587,15,1.5,25.564923090938418
48.40000000000042,0.19863013698630136,28.00541575190197,0.0,0,0.9043298969072165,15,1.5,25.5096898473973
48.50000000000042,0.19863013698630136,28.00541575190197,0.0,0,0.9045267489711935,15,1.5,25.451937972842998
48.60000000000042,0.19863013698630136,28.00541575190197,0.0,0,0.9041067761806981,15,1.5,25.391715246585516
48.70000000000042,0.19886632026452528,28.00541575190197,0.0,0,0.9036885245901639,15,1.5,25.32909498629187
48.80000000000042,0.19886632026452528,28.00541575190197,0.0,0,0.9038854805725971,15,1.5,25.264177219575302
48.900000000000425,0.19910250354274917,28.00541575190197,0.0,0,0.903469387755102,15,1.5,25.19708968911981
49.000000000000426,0.19957487009919697,28.00541575190197,0.0,0,0.9036659877800407,15,1.5,25.127988619695078
49.10000000000043,0.20004723665564478,28.00541575190197,0.0,0,0.9038617886178861,15,1.5,25.058297618407877
49.20000000000043,0.20004723665564478,28.00541575190197,0.0,0,0.9040567951318459,15,1.5,24.988232043431637
49.30000000000043,0.20004723665564478,28.00541575190197,0.0,0,0.9040485829959514,15,1.5,24.91777027022876
49.40000000000043,0.2002834199338687,28.00541575190197,0.0,0,0.9042424242424243,15,1.5,24.846587706154953
49.50000000000043,0.2002834199338687,28.00541575190197,0.0,0,0.9040322580645161,15,1.4004645260033304,24.786493473022297
49.600000000000435,0.2002834199338687,28.00541575190197,0.0,0,0.9042253521126761,15,1.35,24.73115381558695
49.700000000000436,0.2002834199338687,28.00541575190197,0.0,0,0.9042168674698795,15,1.35,24.67421053209486
49.80000000000044,0.2002834199338687,28.00541575190197,0.0,0,0.9040080160320642,15,1.35,24.61545935278194
49.90000000000044,0.20051960321209258,28.00541575190197,0.0,0,0.9042,14,1.35,24.55471612501834
50.00000000000044,0.20122815304676428,28.00541575190197,0.3,10,0.9041916167664671,15,1.5,24.47982475569345
50.10000000000044,0.2014643363249882,28.00541575190197,0.0,0,0.9041832669322709,14,1.5,24.410800193325137
50.20000000000044,0.2014643363249882,28.00541575190197,0.0,0,0.9041749502982107,14,1.5,24.34812083767937
50.300000000000445,0.2014643363249882,28.00541575190197,0.0,0,0.9043650793650794,14,1.5,24.292013927995352
50.400000000000446,0.2014643363249882,28.00541575190197,0.0,0,0.9041584158415842,14,1.5,24.241646138956337
50.50000000000045,0.2014643363249882,28.00541575190197,0.0,0,0.9037549407114625,14,1.5,24.197366957423455
50.60000000000045,0.2017005196032121,28.00541575190197,0.0,0,0.9039447731755424,13,1.35,24.1588945449544
50.70000000000045,0.201936702881436,28.00541575190197,0.0,0,0.9041338582677165,14,1.35,24.111146743709227
50.80000000000045,0.201936702881436,28.00541575190197,0.0,0,0.9041257367387033,14,1.35,24.068935957164417
50.90000000000045,0.201936702881436,28.00541575190197,0.0,0,0.9041176470588236,14,1.35,24.03407153535478
51.000000000000455,0.2021728861596599,28.00541575190197,0.0,0,0.9043052837573385,13,1.35,24.006764614405007
51.100000000000456,0.2021728861596599,28.00541575190197,0.0,0,0.904296875,13,1.35,23.98716330179679
51.20000000000046,0.2024090694378838,28.00541575190197,0.0,0,0.9042884990253411,12,1.35,23.97535088481426
51.30000000000046,0.2024090694378838,28.00541575190197,0.0,0,0.9044747081712062,12,1.35,23.971344882100787
51.40000000000046,0.2024090694378838,28.00541575190197,0.0,0,0.9046601941747573,12,1.35,23.975096948704316
51.50000000000046,0.2024090694378838,28.00541575190197,0.0,0,0.9044573643410853,12,1.35,23.986493626746036
51.60000000000046,0.2024090694378838,28.00541575190197,0.0,0,0.9044487427466151,12,1.35,24.005357917037113
51.700000000000465,0.2026452527161077,28.00541575190197,0.0,0,0.9046332046332046,12,1.35,24.03145163094094
51.800000000000466,0.2026452527161077,28.00541575190197,0.0,0,0.9044315992292871,12,1.35,24.06447846577136
51.90000000000047,0.2026452527161077,28.00541575190197,0.0,0,0.9044230769230769,12,1.35,24.104087730468507
52.00000000000047,0.2031176192725555,28.00541575190197,0.2,10,0.9042226487523992,12,1.5,24.161270660335262
52.10000000000047,0.2035899858290033,28.00541575190197,0.0,0,0.9044061302681993,13,1.5,24.222445751494135
52.20000000000047,0.2038261691072272,28.00541575190197,0.0,0,0.904397705544933,14,1.5,24.28752365829687
52.30000000000047,0.20406235238545112,28.00541575190197,0.0,0,0.9043893129770992,14,1.5,24.35607950731919
52.400000000000475,0.20406235238545112,28.00541575190197,0.0,0,0.9041904761904762,14,1.5,24.42766167237819
52.500000000000476,0.20453471894189892,28.00541575190197,0.0,0,0.9041825095057034,14,1.5,24.501793639789348
52.60000000000048,0.20453471894189892,28.00541575190197,0.0,0,0.9039848197343453,14,1.5,24.577976340011382
52.70000000000048,0.20500708549834673,28.00541575190197,0.0,0,0.9041666666666667,14,1.5,24.655691131543925
52.80000000000048,0.20500708549834673,28.00541575190197,0.0,0,0.9043478260869565,14,1.5,24.734403586158642
52.90000000000048,0.20500708549834673,28.00541575190197,0.0,0,0.9041509433962264,14,1.5,24.81352811000053
53.00000000000048,0.2054794520547945,28.00541575190197,0.0,0,0.9043314500941619,13,1.5,24.892492322115146
53.100000000000485,0.2054794520547945,28.00541575190197,0.0,0,0.9043233082706766,13,1.5,24.971159397631013
53.200000000000486,0.20571563533301843,28.00541575190197,0.0,0,0.9041275797373358,14,1.5,25.049456065093256
53.30000000000049,0.20595181861124232,28.00541575190197,0.0,0,0.9043071161048689,15,1.5,25.127317416643695
53.40000000000049,0.20618800188946623,28.00541575190197,0.0,0,0.9044859813084112,15,1.5,25.204687142048634
53.50000000000049,0.20618800188946623,28.00541575190197,0.0,0,0.9041044776119403,15,1.5,25.281516223438828
53.60000000000049,0.20618800188946623,28.00541575190197,0.0,0,0.904096834264432,15,1.5,25.35776020408257
53.70000000000049,0.20642418516769012,28.00541575190197,0.0,0,0.9040892193308551,14,1.5,25.43337567073562
53.800000000000495,0.20642418516769012,28.00541575190197,0.0,0,0.9040816326530612,14,1.5,25.509880280860674
53.900000000000496,0.20689655172413793,28.00541575190197,0.0,0,0.9042592592592592,15,1.5,25.58817143100846
54.0000000000005,0.20713273500236185,28.00541575190197,0.5,10,0.9044362292051756,15,1.5,25.665521650470314
54.1000000000005,0.20713273500236185,28.00541575190197,0.0,0,0.9044280442804428,15,1.5,25.74129223773805
54.2000000000005,0.20760510155880962,28.00541575190197,0.0,0,0.9044198895027624,14,1.5,25.81486681096349
54.3000000000005,0.20760510155880962,28.00541575190197,0.0,0,0.9045955882352941,14,1.5,25.885660116429083
54.4000000000005,0.20784128483703354,28.00541575190197,0.0,0,0.9044036697247706,14,1.5,25.95312377224467
54.500000000000504,0.20784128483703354,28.00541575190197,0.0,0,0.904029304029304,14,1.5,26.016300051385027
54.600000000000506,0.20807746811525743,28.00541575190197,0.0,0,0.9040219378427788,13,1.5,26.074328944933214
54.70000000000051,0.20854983467170524,28.00541575190197,0.0,0,0.904014598540146,14,1.5,26.127906568344173
54.80000000000051,0.20854983467170524,28.00541575190197,0.0,0,0.9041894353369763,14,1.5,26.17731940808346
54.90000000000051,0.20902220122815304,28.00541575190197,0.0,0,0.9041818181818182,14,1.5,26.22205150277329
55.00000000000051,0.20902220122815304,28.00541575190197,0.0,0,0.9041742286751361,14,1.5,26.261630153810433
55.10000000000051,0.20902220122815304,28.00541575190197,0.0,0,0.9041666666666667,14,1.5,26.295627994715463
55.200000000000514,0.20925838450637696,28.00541575190197,0.0,0,0.9039783001808318,14,1.5,26.32366487769788
55.300000000000516,0.20925838450637696,28.00541575190197,0.0,0,0.9037906137184115,14,1.5,26.345409525346607
55.40000000000052,0.20925838450637696,28.00541575190197,0.0,0,0.9036036036036036,14,1.5,26.360580902454572
55.50000000000052,0.20973075106282474,28.00541575190197,0.0,0,0.9037769784172662,14,1.5,26.368949265000715
55.60000000000052,0.21043930089749646,28.00541575190197,0.0,0,0.9039497307001796,15,1.5,26.370336843018034
55.70000000000052,0.21067548417572035,28.00541575190197,0.0,0,0.9039426523297491,15,1.5,26.364618114848234
55.80000000000052,0.21067548417572035,28.00541575190197,0.0,0,0.9041144901610018,15,1.5,26.351719636033913
55.900000000000524,0.21067548417572035,28.00541575190197,0.0,0,0.9042857142857142,15,1.5,26.331619401001863
56.000000000000526,0.21091166745394427,28.00541575190197,0.4,10,0.9042780748663102,16,1.5,26.308448203174166
56.10000000000053,0.21162021728861596,28.00541575190197,0.0,0,0.9044483985765125,17,1.5,26.28310735818659
56.20000000000053,0.21162021728861596,28.00541575190197,0.0,0,0.9042628774422735,17,1.5,26.257295849345358
56.30000000000053,0.21162021728861596,28.00541575190197,0.0,0,0.9042553191489362,17,1.5,26.231486719263536
56.40000000000053,0.21162021728861596,28.00541575190197,0.0,0,0.9042477876106195,17,1.5,26.206147996726536
56.50000000000053,0.21162021728861596,28.00541575190197,0.0,0,0.9040636042402826,17,1.5,26.18171489340565
56.600000000000534,0.21162021728861596,28.00541575190197,0.0,0,0.9042328042328043,17,1.5,26.15856038383614
56.700000000000536,0.21162021728861596,28.00541575190197,0.0,0,0.9042253521126761,17,1.5,26.13697440815012
56.80000000000054,0.21209258384506377,28.00541575190197,0.0,0,0.9043936731107206,16,1.5,26.11851683545299
56.90000000000054,0.21232876712328766,28.00541575190197,0.0,0,0.9045614035087719,16,1.5,26.103610414984733
57.00000000000054,0.21256495040151158,28.00541575190197,0.0,0,0.9045534150612959,16,1.5,26.092214728801718
57.10000000000054,0.21256495040151158,28.00541575190197,0.0,0,0.9047202797202797,16,1.5,26.084255283743868
57.20000000000054,0.21256495040151158,28.00541575190197,0.0,0,0.9048865619546248,16,1.5,26.079643115292114
57.300000000000544,0.21280113367973547,28.00541575190197,0.0,0,0.9047038327526132,16,1.5,26.077436487888573
57.400000000000546,0.21303731695795938,28.00541575190197,0.0,0,0.9048695652173913,16,1.5,26.07684493219788
57.50000000000055,0.21303731695795938,28.00541575190197,0.0,0,0.9045138888888888,16,1.5,26.077716281418322
57.60000000000055,0.21327350023618327,28.00541575190197,0.0,0,0.9046793760831889,17,1.5,26.079364092584346
57.70000000000055,0.21327350023618327,28.00541575190197,0.0,0,0.9046712802768166,17,1.5,26.081082442476543
57.80000000000055,0.21327350023618327,28.00541575190197,0.0,0,0.9046632124352332,17,1.5,26.082678953216362
57.90000000000055,0.2135096835144072,28.00541575190197,0.0,0,0.9046551724137931,17,1.5,26.08398121721427
58.000000000000554,0.2135096835144072,28.00541575190197,0.5,10,0.9046471600688468,17,1.5,26.08591888709921
58.100000000000556,0.2135096835144072,28.00541575190197,0.0,0,0.9048109965635739,17,1.5,26.088244530510373
58.20000000000056,0.21374586679263108,28.00541575190197,0.0,0,0.9049742710120069,16,1.5,26.090761827955642
58.30000000000056,0.21374586679263108,28.00541575190197,0.0,0,0.9049657534246576,16,1.5,26.0936390626237
58.40000000000056,0.21374586679263108,28.00541575190197,0.0,0,0.9051282051282051,16,1.5,26.097050242133992
58.50000000000056,0.21374586679263108,28.00541575190197,0.0,0,0.9052901023890785,16,1.5,26.101168702125126
58.60000000000056,0.21374586679263108,28.00541575190197,0.0,0,0.9054514480408858,16,1.5,26.10616083185681
58.700000000000564,0.21374586679263108,28.00541575190197,0.0,0,0.9054421768707483,16,1.5,26.112180437278184
58.800000000000566,0.21374586679263108,28.00541575190197,0.0,0,0.9054329371816638,16,1.5,26.119364162211458
58.90000000000057,0.21374586679263108,28.00541575190197,0.0,0,0.9054237288135594,16,1.5,26.127828239487812
59.00000000000057,0.21374586679263108,28.00541575190197,0.0,0,0.9052453468697124,16,1.5,26.137666671436268
59.10000000000057,0.213982050070855,28.00541575190197,0.0,0,0.9054054054054054,16,1.5,26.14778099679254
59.20000000000057,0.213982050070855,28.00541575190197,0.0,0,0.9055649241146712,16,1.5,26.157458347407303
59.30000000000057,0.213982050070855,28.00541575190197,0.0,0,0.9053872053872054,16,1.5,26.16672728424731
59.400000000000574,0.213982050070855,28.00541575190197,0.0,0,0.9053781512605042,16,1.5,26.175371589122868
59.500000000000576,0.213982050070855,28.00541575190197,0.0,0,0.9055369127516778,16,1.5,26.182025313176457
59.60000000000058,0.21421823334907888,28.00541575190197,0.0,0,0.9056951423785594,17,1.5,26.186592218676314
59.70000000000058,0.21421823334907888,28.00541575190197,0.0,0,0.905685618729097,17,1.5,26.190605158919393
59.80000000000058,0.21445441662730277,28.00541575190197,0.0,0,0.9058430717863105,16,1.5,26.194603127955684
59.90000000000058,0.21445441662730277,28.00541575190197,0.0,0,0.906,16,1.5,26.19850746947113
60.00000000000058,0.21445441662730277,28.00541575190197,0.4,10,0.9059900166389351,16,1.5,26.199039827962938
